"key","en","ru"
"Runner_brief_desc","Speed is increased by 50%","Скорость выше на 50% "
"Smoker","Smoker","Курильщик "
"Smoker_desc","The mysterious tobacco from the southern shores has pretty much ruined your life. You feel constantly short of breath, have problems with the respiratory tract, cough, and have yellowed teeth... And why didn't the damn natives warn you about the side effects?","Загадочный табак с южных берегов изрядно подпортил вам жизнь. Вы чувствуете постоянную одышку, испытываете проблемы с дыхательными путями, кашляете, у вас пожелтели зубы... И почему эти гребаные аборигены не предупредили о побочных эффектах?"
"Smoker_brief_desc","Stamina is deacreased by 50%","Выносливость меньше на 50%"
"Swordsman","Swordsman","Фехтовальщик"
"Swordsman_desc","You are far from the first blade of Inpolis, but you do not give up training. Tournament after tournament, duel after duel, you improve your skills, hoping to become the best.","До первого клинка Инполиса вам далеко, но вы не бросаете тренировки. Турнир за турниром, дуэль за дуэлью, вы совершенствуете свои навыки, в надежде стать лучшим."
"Swordsman_brief_desc","Swords and daggers deals 50% more damage","Мечи и кинжалы наносят на 50% больше урона"
"Tough","Tough","Крепкий"
"Tough_desc","Good nutrition, proper exercise, and now you can withstand the most serious damage, both physically and mentally.","Хорошее питание, правильные упражнения, и вот - вы можете выдержать серьёзнейшие повреждения, как физически, так и морально."
"Tough_brief_desc","Health increased by 50%","+50% ОЗ"
"Woodcutter","Woodcutter","Дровосек"
"Woodcutter_desc","Working in a sawmill is hard, but you didn't complain until you had to leave. It doesn't matter what the reason is, but it's just you and your skill with the axe."," Работа на лесопилке тяжела, но вы не жаловались, пока вам не пришлось уйти. Не важно, по какой причине это произошло, однако остались только вы и ваше умение обращаться с топором."
"Woodcutter_brief_desc","Axes deals 50% more damage","Топоры наносят на 50% больше Урона"
"menu_resume","Continue","Продолжить"
"menu_exit","Exit","Выйти"
"menu_newgame","New Game","Новая Игра"
"menu_confirm_no","NO","НЕТ"
"menu_confirm_yes","Yes","Да"
"menu_confirm_text","Are you sure you want to start a new game ? Last saved one will be deleted.","Вы уверены, что хотитие начать новую игру? Последнее сохранение будет утеряно."
"creation_finish","Finish","Создать"
"stats_save_btn","Save","Сохранить"
"stats_abilities_pointsleft","Points Left:","Очков Осталось:"
"contracts_empty","Empty","Пусто"
"trade_reward","Reward:","Награда:"
"trade_renow_level","Renown Level","Уровень Известности:"
"tarde_takecontract","Take contract","Взять Котракт"
"trade_close","close","Закрыть"
"trade_level","Level:","Уровень:"
"trade_buy","buy","Купить"
"trade_sell","Sell","Продать"
"trade_price","Price:","Цена"
"trade_unlock_text","Unlocks:","Открывает:"
"trade_upgrade_text","Upgrade to level","Улучшить до уровня:"
"trade_take","Take","Взять"
"trade_drop","Withdraw","Отказаться"
"tarde_unlock","Unlock","Улучшить"
"ads_info","Watch this Ads and get 150 points of Renown!","Посмотри рекламу и получи 150 очков Известности!"
"ads_watch","Watch","Смотреть"
"inventory_equipment_text","Equipment","Снаряжение"
"inventory_quickpanel_text","Quick Panel","Панель Быстрого Доступа"
"inventory_inventory_text","Inventory","Инвентарь"
"inventory_equip_btn","Equip","Снарядить"
"stats_lelvel_text","Level:","Уровень:"
"stats_phys_dmg_text","Physic Dmg","Физ Урон"
"stats_magic_dmg_text","Magic Dmg","Маг Урон"
"stats_phys_def_text","Physic Def","Физ Защ"
"stats_magic_def_text","Magic Def","Маг Защ"
"stats_atk_speed_text","Atk speed","Скор Атак"
"stats_cast_speed_text","Cast speed","Скор Закл"
"stats_move_speed_text","Move speed","Скор Передв"
"stats_save","Save","Сохранить"
"stats_intelligence","Intelligence","Интеллект"
"stats_magic_crit","Magical Crit","Маг Крит"
"stats_elemental_res","Elemental Resistance","Сопр Елем"
"stats_mp_regen","Mp regen","ОМ"
"stats_max_mp","Max mp","Макс ОМ"
"stats_crit_chance","Crit Chance","Шанс крит"
"stats_sp_regen","sp regen","Реген ОВ"
"stats_agility","Agility","Ловкость"
"stats_evade","Evade","Уворот"
"stats_max_sp","Max sp","Макс ОВ"
"stats_max_hp","max hp","Макс ОЗ"
"stats_strength","Strength","Телосложение"
"stats_ph_crit","Physical Crit","Физ Крит"
"stats_ph_resist","Physical Resistance","Физ сопр"
"abilities_skills","Skills","Умения"
"abilities_active_skills","Active Skills","Активные Умения"
"stats_abilities_books","Books","Книги"
"stats_traits_name","Traits","Черты Характера"
"contracts_current_contracts","Current Contracts","Текущие Контракты"
"Quests","Quests","Квесты"
"Trade","Trade","Торговать"
"collected_treasure","Collected Treasure","Собранные Сокровища"
"contracts_complited","Contracts Complited","Выполнено Контрактов"
"to_tavern","To Tavern","В Таверну"
"enemy_killed","Enemy Killed","Противников Убито"
"Open","Open","Открыть"
"Rest","Rest","Отдохнуть"
"Drink","Drink","Выпить"
"Use","Use","Использовать"
"Bowl_of_Soup","Bowl of Soup","Чашка супа"
"Bowl_of_Soup_desc","+3 hp for 30 seconds","+ 3 ОЗ/сек 30 сек"
"Ham_Slice","Ham Slice","Кусок ветчины"
"Ham_Slice_desc","+1 hp for 5 seconds","+ 1 ОЗ/сек 5 сек"
"Garlic_Bread","Garlic Bread","Чесночный хлеб"
"Garlic_Bread_desc","+5 hp for 5 seconds","+ 2 ОЗ/сек 20 сек"
"Lembas","Lembas","Лембас"
"Lembas_desc","+5 hp for 1 minute","+ 5 ОЗ/сек 1 мин"
"Sandwich_with_meat","Sandwich with meat","Пирожок с мясом"
"Sandwich_with_meat_desc","+1 hp for 10 seconds","+ 1 ОЗ/сек 10 сек"
"Chocolate","Chocolate","Шоколадка "
"Chocolate_desc","+1 mp for 5 seconds","+ 1 ОМ/сек 5 сек"
"Magical_Dust","Magical Dust","Толченый краеугольный камень"
"Magical_Dust_desc","+3 mp for 30 seconds","+ 3 ОМ/сек 30 сек"
"Pice_of_Creatures_Heart","Pice of Creatures Heart","Кусок сердца катоблепаса"
"Pice_of_Creatures_Heart_desc","+2 mp for 20 seconds","+ 2 ОМ/сек 20 сек"
"Roasted_Tail_of_Tarask","Roasted Tail of Tarask","Тушеный хвост Тарраска"
"Roasted_Tail_of_Tarask_desc","+5 mp for 1 minute","+ 5 ОМ/сек 1 мин"
"Roasted_Wing_of_Gurzun","Roasted Wing of Gurzun","Жареное крыло гурзуна"
"Roasted_Wing_of_Gurzun_desc","+1 mp for 10 seconds","+ 1 ОМ/сек 10 сек"
"Elf`s_Wine","Elf`s Wine","Бутылка эльфского вина"
"Elf`s_Wine_desc","+2 sp for 20 seconds","+ 2 ОФ/сек 20 сек"
"Inpolis_Lemonade","Inpolis Lemonade","Инполисский лимонад"
"Inpolis_Lemonade_desc","+1 sp for 10 seconds","+ 1 ОФ/сек 10 сек"
"Protein_Shake","Protein Shake","Белковый коктейль"
"Protein_Shake_desc","+3 sp for 20 seconds","+ 3 ОФ/сек 30 сек"
"The_Great_Tea_Cup","The Great Tea Cup","Чашка Великого Чая"
"The_Great_Tea_Cup_desc","+5 sp for 1 minute","+ 5 Оф/сек 1 мин"
"Water_bottle","Water bottle","Фляжка воды"
"Water_bottle_desc","+1 sp for 5 seconds","+ 1 ОФ/сек 5 сек"
"Teleport_Stone","Teleport Stone","Камень Телепортации"
"Teleport_Stone_desc","It Returns you to the Tavern","Возвращяает вас обратно в таверну"
"Potion_of_health","Potion of health","Зелье Лечения"
"Potion_of_health_desc","+ 50 HP","+ 50 к ОЗ"
"Potion_of_mana","Potion of mana","Зелье Маны"
"Potion_of_health_desc","+ 50 MP","+ 50 к ОМ"
"Potion_of_stamina","Potion of stamina","Зелье Выносливости"
"Potion_of_stamina_desc","+ 50 SP","+ 50 к ОВ"
"Poison_Disolver","Poison Disolver","Противоядие"
"Poison_Disolver_desc","Removes Poison effect from the character","Сбрасывает эффект отравления с персонажа"
"book_fire","Focus of Fire","Фокус огня"
"book_berserk","Berserk Path","Путь Берсерка"
"book_robber","Robber`s Tricks","Трюки Разбойника"
"trade_master_upgrade_traits","- Higher Probability of Good Traits","- Выше шанс выпадения хороших Черт Характера"
"trade_master_info_gold","- More Start Gold","- Больше Стартого Золота"
"trade_upgrade_renown_text","Upgrade Renown Level To","Улучшить Уровень Известности до"
